name,product_url,price,original_price,image_url,sku,category
Bồn cầu 1 khối MS857DT8 kèm nắp đóng êm TC600VS,https://tototuantu.vn/products/bon-cau-1-khoi-ms857dt8-kem-nap-dong-em-tc600vs,"9,151,000₫",,https://product.hstatic.net/1000238289/product/ms857dt84x_29719125851841af9eb03a9b20d06d89_medium.png,,bon-cau
Bồn cầu một khối MS857DT10 kèm nắp đóng êm TV395VS,https://tototuantu.vn/products/bon-cau-mot-khoi-ms857dt10-kem-nap-dong-em-tv395vs,"8,500,000₫",,https://product.hstatic.net/1000238289/product/ms857dt104x_54fca2b766ad4ee580a005b2bc398143_medium.png,,bon-cau
Bồn cầu treo tường cao cấp TOTO CW542HME5UNW1 TCF802C2Z WH172AAT MB175MSS,https://tototuantu.vn/products/bon-cau-treo-tuong-cao-cap-toto-cw542hme5unw1-tcf802c2z-wh172aat-mb175mss,"81,880,000₫","109,162,000₫",https://product.hstatic.net/1000238289/product/cw542hme5unw1_tcf802c2z_4x_ad1b8afad3f24d86993a3d1d21a9c36a_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW553C TCF34570GAA WH172AAT TCA464 MB175MSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw553c-tcf34570gaa-wh172aat-tca464-mb175mss,"47,470,000₫","63,287,000₫",https://product.hstatic.net/1000238289/product/cw553c_tcf34570gaa_4x_25c70abb53f04fb3af8152f79f0bb57e_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW553C TCF33370GAA WH172AT TCA465 MB175MSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw553c-tcf33370gaa-wh172at-tca465-mb175mss,"33,570,000₫","44,758,000₫",https://product.hstatic.net/1000238289/product/cw553c_tcf33370gaa_4x_7bb30905ad86457d8755805d3c2beffc_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW553 TCF33320GAA WH172A MB170PSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw553-tcf33320gaa-wh172a-mb170pss,"31,270,000₫","41,694,000₫",https://product.hstatic.net/1000238289/product/cw553_tcf33320gaa_4x_3b318844619e4227ae52d657d720be3e_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW553 TC384CVK WH172A MB170PWH,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw553-tc384cvk-wh172a-mb170pwh,"16,280,000₫","21,708,000₫",https://product.hstatic.net/1000238289/product/cw553_tc384cvk_4x_db70ac3a2a6942febeddc626c1f09cf7_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW812REA TCF4911EZ WH172AAT TCA464 MB175MSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw812rea-tcf4911ez-wh172aat-tca464-mb175mss,"54,530,000₫","72,699,000₫",https://product.hstatic.net/1000238289/product/cw812rea_tcf4911ez_4x_e407cfc085f442dca6fdbe9f4ec43389_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW812REA TCF24460AAA WH172AT TCA465 MB175MSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw812rea-tcf24460aaa-wh172at-tca465-mb175mss,"36,620,000₫","48,810,000₫",https://product.hstatic.net/1000238289/product/cw812rea_tcf24460aaa_4x_8091613dc21d4e66916b4bd1b9c3f716_medium.png,,bon-cau
bồn cầu treo tường TOTO CW812RA TCF24410AAA WH172A MB170PSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw812ra-tcf24410aaa-wh172a-mb170pss,"34,270,000₫","45,687,000₫",https://product.hstatic.net/1000238289/product/cw812ra_tcf24410aaa_4x_ad8e3e1f4ec44d298d13f5145a8a5c1f_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW812RA TCF23410AAA WH172A MB170PSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw812ra-tcf23410aaa-wh172a-mb170pss,"28,270,000₫","37,687,000₫",https://product.hstatic.net/1000238289/product/cw812ra_tcf23410aaa_4x_6c15bcbbe92e4812a69a056c48d735ad_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW812RA TCF23710AAA WH172A MB170PSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw812ra-tcf23710aaa-wh172a-mb170pss,"24,520,000₫","32,687,000₫",https://product.hstatic.net/1000238289/product/cw812ra_tcf23710aaa_4x_f2c9f9535d3b4d6c83bfd86a1452c2cb_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW812RA TC811SJ WH172A MB170PWH,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw812ra-tc811sj-wh172a-mb170pwh,"17,950,000₫","23,927,000₫",https://product.hstatic.net/1000238289/product/cw812ra_tc811sj_4x_f53367b07f53408bbe255d1a1ca12e7d_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW822RA TCF23710AAA WH172A MB170PSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw822ra-tcf23710aaa-wh172a-mb170pss,"24,600,000₫","32,795,000₫",https://product.hstatic.net/1000238289/product/cw822ra_tcf23710aaa_4x_89d69bd979424f019e09e2ebb8c90ee2_medium.png,,bon-cau
Bồn cầu treo tường CW822RA kèm nắp rửa điện tử WASHLET dòng C2 TCF23410AAA,https://tototuantu.vn/products/bon-cau-treo-tuong-cw822ra-kem-nap-rua-dien-tu-washlet-dong-c2-tcf23410aaa,"28,355,000₫","37,795,000₫",https://product.hstatic.net/1000238289/product/cw822ra_tcf23410aaa_wh172a_mb170p_4x_9c30032f549a4fd1a027f3f434524e9d_medium.png,,bon-cau
Bồn cầu treo tường TOTO CW822RA TC600VS WH172A MB170PWH,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw822ra-tc600vs-wh172a-mb170pwh,"16,510,000₫","22,012,000₫",https://product.hstatic.net/1000238289/product/cs822ra_tc600vs_sp_4x_8c1c3a8f695c4248994351ad1d909770_medium.png,,bon-cau
Bồn Cầu Thông Minh TOTO CS903KVT/T53P100VR NEOREST NX Tự Động,https://tototuantu.vn/products/bon-cau-thong-minh-toto-cs903kvt-t53p100vr-neorest-nx-tu-dong,"328,084,680₫","390,577,000₫",https://product.hstatic.net/1000238289/product/cs903kvt_9fb08793756d4063809789c61482c10b_medium.jpg,,bon-cau
Bồn Cầu Thông Minh TOTO CS902VT/T53P100VR NEOREST NX Tự Động,https://tototuantu.vn/products/bon-cau-thong-minh-toto-cs902vt-t53p100vr-neorest-nx-tu-dong,"196,969,920₫","234,488,000₫",https://product.hstatic.net/1000238289/product/cs902vt_nw1_00ef7f067bcf40ab89dcb8094df3d243_medium.jpg,,bon-cau
Bồn Cầu Điện Tử TOTO MS885CDW23 Nắp Rửa Washlet TCF47360GAA S7 Giấu Dây,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms885cdw23-nap-rua-washlet-tcf47360gaa-s7-giau-day,"36,263,640₫","43,171,000₫",https://product.hstatic.net/1000238289/product/ms885cdw23_bb5f5060a8b74640b701baacf60222ff_medium.jpg,,bon-cau
Bồn Cầu Điện Tử TOTO MS887CRW23 Nắp Rửa Washlet TCF47360GAA S7 Giấu Dây,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms887crw23-nap-rua-washlet-tcf47360gaa-s7-giau-day,"37,937,760₫","45,164,000₫",https://product.hstatic.net/1000238289/product/ms887crw23_1c74b60e154e41e3b725a98834673975_medium.jpg,,bon-cau
Bồn Cầu Điện Tử TOTO MS889CDRW23 Nắp Tự Động Đóng Mở TCF47360GAA Dòng S7 Giấu Dây,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms889cdrw23-nap-tu-dong-dong-mo-tcf47360gaa-dong-s7-giau-day,"37,937,760₫","45,164,000₫",https://product.hstatic.net/1000238289/product/ms889cdrw23_837d438f9c38484dbcf192234fb63af2_medium.png,,bon-cau
Bồn Cầu Điện Tử TOTO MS188VKW23 Nắp Washlet TCF47360GAA S7,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms188vkw23-nap-washlet-tcf47360gaa-s7,"40,692,120₫","48,443,000₫",https://product.hstatic.net/1000238289/product/ms188vkw23_xw_1007511df467468b8f90fc0191eb2313_medium.png,,bon-cau
Bồn Cầu Điện Tử TOTO MS625CDW23 Nắp Rửa Washlet TCF47360GAA S7 Giấu Dây,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms625cdw23-nap-rua-washlet-tcf47360gaa-s7-giau-day,"42,184,800₫","50,220,000₫",https://product.hstatic.net/1000238289/product/ms625cdw23_0c0ac40987d041048d0ee25825605af2_medium.png,,bon-cau
Bồn Cầu Điện Tử TOTO MS823CDRW23 Nắp Washlet TCF47360GAA S7 Giấu Dây,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms823cdrw23-nap-washlet-tcf47360gaa-s7-giau-day,"44,016,000₫","52,400,000₫",https://product.hstatic.net/1000238289/product/ms823cdrw23_xw_8f92dd876e2a484d90d70a7a816c56b9_medium.png,,bon-cau
Bồn Cầu Điện Tử TOTO MS636CDRW23 Nắp Rửa Washlet TCF47360GAA S7 Giấu Dây,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms636cdrw23-nap-rua-washlet-tcf47360gaa-s7-giau-day,"45,962,280₫","54,717,000₫",https://product.hstatic.net/1000238289/product/ms636cdrw23_xw_fccaa64468c34e529666f63c4558972c_medium.png,,bon-cau
Nắp rửa điện tử Washlet TOTO TCF47360GAA dòng S7 giấu dây,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf47360gaa-dong-s7-giau-day,"28,000,000₫","40,000,000₫",https://product.hstatic.net/1000238289/product/tcf47360gaa_nw1_a379c9b0fce74d87a3a7b57d57ac4846_medium.png,,bon-cau
Bồn cầu điện tử TOTO MS855DW18 nắp rửa Washlet TCF23710AAA C2 Simple,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms855dw18-nap-rua-washlet-tcf23710aaa-c2-simple,"14,061,600₫","16,740,000₫",https://product.hstatic.net/1000238289/product/ms855dw18_xw_488b7aa700f14b68b65a586e7994f883_medium.jpg,,bon-cau
Bồn Cầu Điện Tử TOTO MS885DW18 Nắp Rửa Washlet TCF23710AAA C2,https://tototuantu.vn/products/bon-cau-dien-tu-toto-ms885dw18-nap-rua-washlet-tcf23710aaa-c2,"16,172,520₫","19,253,000₫",https://product.hstatic.net/1000238289/product/ms885-c2_1_2004b66fc6184973a32e8292e2c9724e_medium.jpg,,bon-cau
Bàn cầu TOTO treo tường cao cấp CW812REA / TCF4911EZ / WH172AAT,https://tototuantu.vn/products/ban-cau-toto-treo-tuong-cao-cap-cw812rea-tcf4911ez-wh172aat-2,"58,555,560₫","69,709,000₫",https://product.hstatic.net/1000238289/product/cw812rea__1__d8ac46545a144428ae00aceadc116e7a_4821d3f0467b40ebac83b9b0caa9a286_medium.jpg,,bon-cau
Bồn cầu treo tường TOTO CW822REA TCF4911EZ WH172AAT TCA464 MB171MSS,https://tototuantu.vn/products/bon-cau-treo-tuong-toto-cw822rea-tcf4911ez-wh172aat-tca464-mb171mss,"54,610,000₫","72,797,000₫",https://product.hstatic.net/1000238289/product/cw822rea_tcf4911ez_4x_a3f2971c5fe247aa9bf2b07695810ae3_medium.png,,bon-cau
Bồn Cầu Điện Tử TOTO CS326DW16 Nắp Rửa Washlet TCF23410AAA C2,https://tototuantu.vn/products/bon-cau-dien-tu-toto-cs326dw16-nap-rua-washlet-tcf23410aaa-c2,"15,009,960₫","17,869,000₫",https://product.hstatic.net/1000238289/product/cs326dw16_xw_508523cb66f04b58a5b8e242d93a25e4_medium.jpg,,bon-cau
