name,product_url,price,original_price,image_url,sku,category
Nắp rửa điện tử Washlet TOTO TCF47360GAA dòng S7 giấu dây,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf47360gaa-dong-s7-giau-day,"30,400,000₫","40,000,000₫",https://product.hstatic.net/1000238289/product/tcf47360gaa_nw1_a379c9b0fce74d87a3a7b57d57ac4846_medium.png,,nap-bon-cau
Nắp rửa điện tử WASHLET dòng C2 TCF23710AAA,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-dong-c2-tcf23710aaa,"12,000,000₫",,https://product.hstatic.net/1000238289/product/tcf23710aaa_f23c4100ab4a48759077511a79da0f94_medium.jpg,,nap-bon-cau
Nắp Êm Bồn Cầu TOTO TC395VS (T10),https://tototuantu.vn/products/nap-em-bon-cau-toto-tc395vs-t10,"684,250₫","805,000₫",https://product.hstatic.net/1000238289/product/tc395vs_w_ab2d27275c0a485ca9c154e053ae961a_medium.jpg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF24460AAA (W15) Giấu Dây,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf24460aaa-w15-giau-day,"19,570,000₫","25,750,000₫",https://product.hstatic.net/1000238289/product/wl_c5_1_2__1__6c43fddabd204e2faddc163b89e13403_medium.jpeg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF23410AAA (W16) C2,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf23410aaa-w16-c2,"13,307,600₫","17,510,000₫",https://product.hstatic.net/1000238289/product/pf4_01_1_1_e7704e7775ae45ea9356b24c5c49f365_medium.jpeg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF23460AAA (W17) Giấu Dây C2,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf23460aaa-w17-giau-day-c2,"13,307,600₫","17,510,000₫",https://product.hstatic.net/1000238289/product/pf4_01_1_1_5df4b81352fd42eda5d6d1c3fc4c50ca_medium.jpeg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF33370GAA Giấu Dây S2,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf33370gaa-giau-day-s2,"18,430,000₫","24,250,000₫",https://product.hstatic.net/1000238289/product/s2_-_tcf33320_83e53399d6724954aa028a6a6302c611_medium.jpeg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF33320GAA S2 Chữ D,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf33320gaa-s2-chu-d,"18,430,000₫","24,250,000₫",https://product.hstatic.net/1000238289/product/s2_-_tcf33320_0e36c285a2464db6845d8e8d1b3d742f_medium.jpeg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF34570GAA Giấu Dây S5,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf34570gaa-giau-day-s5,"25,125,600₫","33,060,000₫",https://product.hstatic.net/1000238289/product/s5-tcf34320gaa_nw1_2915913bf7b84fc79258b366d9590b04_medium.jpeg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF34320GAA S5 Chữ D,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf34320gaa-s5-chu-d,"25,125,600₫","33,060,000₫",https://product.hstatic.net/1000238289/product/s5-tcf34320gaa_nw1_9d3d42966b0541b9af4a9ffd12e9341f_medium.jpeg,,nap-bon-cau
Nắp Rửa Điện Tử Washlet TOTO TCF24410AAA,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf24410aaa,"25,750,000₫",,https://product.hstatic.net/1000238289/product/wl_c5_1_2_1__1__6b376735e71b4490b71cdf1324313be4_medium.jpg,,nap-bon-cau
Nắp rửa điện tử Washlet TCF4911Z,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-tcf4911z-nw1-1,"38,920,000₫",,https://product.hstatic.net/1000238289/product/tcf4911z_95c593e149fe499f8dd4e5394e9d5f6d_medium.jpg,,nap-bon-cau
Nắp rửa điện tử TCF4911EZ,https://tototuantu.vn/products/nap-rua-dien-tu-tcf4911ez-nw1-1,"29,579,200₫","38,920,000₫",https://product.hstatic.net/1000238289/product/tcf4911z_98292b64e6154f89ac6c0e525dbfb4e7_d4e5b543c78b430eaedd4a7cbd857668_medium.jpg,,nap-bon-cau
Nắp đậy bàn cầu TC600VS,https://tototuantu.vn/products/nap-day-ban-cau-tc600vs-w-1,"1,220,520₫","1,453,000₫",https://product.hstatic.net/1000238289/product/tc600vs_399ceec0e02a4405bfb753c78fc6cc8b_410e28f8de8e4311921cfe9bb288e25e_medium.jpg,,nap-bon-cau
Nắp cầu đóng êm TC393VS,https://tototuantu.vn/products/nap-cau-dong-em-tc393vs-w-1,"1,220,520₫","1,453,000₫",https://product.hstatic.net/1000238289/product/tc393vs_1_220d570b49244d4c8d5bcdf2e8585bf2_acb79ccd80ee4f19bdf4feb5147fba38_medium.jpg,,nap-bon-cau
