name,product_url,price,original_price,image_url,sku,category
Vòi xịt vệ sinh TOTO THX20SEV1,https://tototuantu.vn/products/voi-xit-ve-sinh-toto-thx20sev1,"1,531,920₫","1,964,000₫",https://product.hstatic.net/1000238289/product/video-_0fe0fe34d2254bd183fcd3ebee269af7_medium.jpg,,phu-kien-nha-tam
Ga thoát sàn TX1DB,https://tototuantu.vn/products/ga-thoat-san-tx1db,"1,450,800₫","1,860,000₫",https://product.hstatic.net/1000238289/product/tx1db_pfg_e901df8f53ba419b984379695d3608bb_medium.jpg,,phu-kien-nha-tam
Lô giấy vệ sinh YH702,https://tototuantu.vn/products/lo-giay-ve-sinh-yh702,"2,358,720₫","3,024,000₫",https://product.hstatic.net/1000238289/product/00b377-small_1fb819788fa1431c9e1a2a248d046fc1_medium.jpg,,phu-kien-nha-tam
Ga thoát sàn TVBA413,https://tototuantu.vn/products/ga-thoat-san-tvba413,"1,216,800₫","1,560,000₫",https://product.hstatic.net/1000238289/product/tvba413_1e43dfe07c9f41f0a903da8cb265825d_medium.jpg,,phu-kien-nha-tam
Vòng Treo Khăn TOTO YTT903V,https://tototuantu.vn/products/vong-treo-khan-ytt903v-1,"1,310,400₫","1,680,000₫",https://product.hstatic.net/1000238289/product/ytt903v_01_1b2b9d3a33ec49a1b812cb70e40c0e6f_928e19538bee40fd96ee228ae02db8f6_medium.jpg,,phu-kien-nha-tam
Vòng treo khăn YTT902V,https://tototuantu.vn/products/vong-treo-khan-ytt902v-1,"1,310,400₫","1,680,000₫",https://product.hstatic.net/1000238289/product/ytt902v_01_6966c6d7a5d24995a0d42ce54ae63b90_a451e5a5c1aa44cdb7d2b3bf40a999d6_medium.jpg,,phu-kien-nha-tam
Vòng treo khăn YTT408V,https://tototuantu.vn/products/vong-treo-khan-ytt408v-1,"760,000₫",,https://product.hstatic.net/1000238289/product/ytt408v_01_ff537b7ade0c419eb0f15109ef46758f_d3e1e90bec0a4324890914dbfc58ffc8_medium.jpg,,phu-kien-nha-tam
Vòng treo khăn YTT406V,https://tototuantu.vn/products/vong-treo-khan-ytt406v-1,"760,000₫",,https://product.hstatic.net/1000238289/product/ytt406v_01_ef444b84cb4e4bdbb66ed10f0ad7b69e_49b95799bcef4503b09320e74523fc0d_medium.jpg,,phu-kien-nha-tam
Vòng treo khăn TX702AES,https://tototuantu.vn/products/vong-treo-khan-tx702aes-1,"709,800₫","910,000₫",https://product.hstatic.net/1000238289/product/tx702aes_50c323f357c24d37a7a2e0289ce2d743_f7bd33c621bb4cc09fb29355e8c2a699_medium.jpg,,phu-kien-nha-tam
Vòng treo khăn TX702AE,https://tototuantu.vn/products/vong-treo-khan-tx702ae-1,"1,365,000₫","1,750,000₫",https://product.hstatic.net/1000238289/product/tx702ae_1_c27fb92b841943ec91d5cbfee5b42e5a_ac8ac782c14544f9886a227a04fef48f_medium.jpg,,phu-kien-nha-tam
