name,product_url,price,original_price,image_url,sku,category
Thanh trượt sen tắm (loại tròn) TBW01016B,https://tototuantu.vn/products/thanh-truot-sen-tam-loai-tron-tbw01016b,"1,760,000₫",,https://product.hstatic.net/1000238289/product/tbw01016b-removebg-preview_86828dbc2d194904ab53d2833475b274_medium.png,,sen-tam
Van gật gù điều chỉnh nóng lạnh GA TBG04304BB#MBL/TBN01001B,https://tototuantu.vn/products/van-gat-gu-dieu-chinh-nong-lanh-ga-tbg04304bb-mbl-tbn01001b,"7,753,200₫","9,940,000₫",https://product.hstatic.net/1000238289/product/tbg04304bb_mbl_1461db2af73a4c41a58e90c03cd6edf8_medium.jpg,,sen-tam
Van điều chỉnh nóng lạnh GS TBG03304BB,https://tototuantu.vn/products/van-dieu-chinh-nong-lanh-gs-tbg03304bb,"7,020,000₫","9,000,000₫",https://product.hstatic.net/1000238289/product/tbg03304bb_mbl_0a6a39bb3fd1493582cff7d17d9488e8_medium.jpg,,sen-tam
Bộ sen tắm nóng lạnh TTMR302V/TBW07012A,https://tototuantu.vn/products/bo-sen-tam-nong-lanh-ttmr302v-tbw07012a,"4,127,760₫","5,292,000₫",https://product.hstatic.net/1000238289/product/ttmr302vtbw07012a_4x_1a2a2bd587bb4147ac52b03865b2f82a_medium.png,,sen-tam
Bộ sen tắm nóng lạnh TTMR302V/TBW07009A,https://tototuantu.vn/products/bo-sen-tam-nong-lanh-ttmr302v-tbw07009a,"4,303,260₫","5,517,000₫",https://product.hstatic.net/1000238289/product/ttmr302vtbw07009a_4x_de0805990e484b7db2895db3474695c4_medium.png,,sen-tam
Bộ sen tắm nóng lạnh TTMR302V/TBW03002B,https://tototuantu.vn/products/bo-sen-tam-nong-lanh-ttmr302v-tbw03002b,"4,548,960₫","5,832,000₫",https://product.hstatic.net/1000238289/product/ttmr302vtbw03002b_4x_714dbc685a544150af76d1ed5d07928c_medium.png,,sen-tam
Bộ sen tắm nóng lạnh Rei-s TTMR302V/DGH108ZR,https://tototuantu.vn/products/bo-sen-tam-nong-lanh-rei-s-ttmr302v-dgh108zr,"4,219,020₫","5,409,000₫",https://product.hstatic.net/1000238289/product/ttmr302vdgh108zr_4x_fc48487b373c47528a0a622637abd871_medium.png,,sen-tam
Bộ sen tắm nóng lạnh Rei-s TTMR302V/DGH104ZR,https://tototuantu.vn/products/bo-sen-tam-nong-lanh-rei-s-ttmr302v-dgh104zr,"3,683,160₫","4,722,000₫",https://product.hstatic.net/1000238289/product/ttmr302vdgh104zr_4x_3854de67f10846fa989b33f2978aea56_medium.png,,sen-tam
Bát sen gắn tường dòng Z TBW07004A/TBN01002B,https://tototuantu.vn/products/bat-sen-gan-tuong-dong-z-tbw07004a-tbn01002b,"22,167,600₫","28,420,000₫",https://product.hstatic.net/1000238289/product/tbw07004a_fe949ff9653e45a9a8f789d4bf6f1793_medium.jpg,,sen-tam
Bộ sen tắm nóng lạnh LF TBS04302V/TBW07012A,https://tototuantu.vn/products/bo-sen-tam-nong-lanh-lf-tbs04302v-tbw07012a,"3,449,160₫","4,422,000₫",https://product.hstatic.net/1000238289/product/tbs04302vtbw07012a_4x_3d0bd8a3f3904d77a1ab375a7d55e3e3_medium.png,,sen-tam
