name,product_url,price,original_price,image_url,sku,category
Khung treo bàn cầu WH005A,https://tototuantu.vn/products/khung-treo-ban-cau-wh005a,"4,625,400₫","5,930,000₫",https://product.hstatic.net/1000238289/product/th.toto.com-wh005a-wh005a_d14ca73a66d64fb39121dc7a63f3139f_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van xả cảm ứng tự động cho bàn cầu treo tường TREF35L2A,https://tototuantu.vn/products/van-xa-cam-ung-tu-dong-cho-ban-cau-treo-tuong-tref35l2a,"12,776,400₫","16,380,000₫",https://product.hstatic.net/1000238289/product/th.toto.com-tref35l2a-tref35l2a-tref25u2a_6688d7d242864b308be1b8d3641e3d3f_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam DUE110PSK,https://tototuantu.vn/products/van-cam-ung-tieu-nam-due110psk,"5,007,600₫","6,420,000₫",https://product.hstatic.net/1000238289/product/due110psk_9f741e2377be41b3ae4747e57c435f1d_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Bồn Tiểu Nam TOTO U104W/F#W (U104W-F) Treo Tường,https://tototuantu.vn/products/bon-tieu-nam-toto-u104w-f-w-u104w-f-treo-tuong,"2,144,000₫","2,680,000₫",https://product.hstatic.net/1000238289/product/u104w_f_w_b39dca57d43a4a788032815fa1840d9e_medium.jpeg,U104W-F,thiet-bi-ve-sinh-khu-cong-cong
Van Xả Nhấn Bồn Tiểu Nam TOTO DU601SRR,https://tototuantu.vn/products/van-xa-nhan-bon-tieu-nam-toto-du601srr,"1,466,400₫","1,880,000₫",https://product.hstatic.net/1000238289/product/du601srr_637ed0743fac4a699bd9784206d33974_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường và ống nối - DUE126UPE/VM2L037Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-va-ong-noi-due126upe-vm2l037z,"8,447,400₫","10,830,000₫",https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2023-02-18_luc_09.27.02_b0ba7201fbee4a02ab2b6f8cf50886f8_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường (dùng pin) DUE126UPK/VM2L051Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-dung-pin-due126upk-vm2l051z,"6,957,600₫","8,920,000₫",https://product.hstatic.net/1000238289/product/due126upk_de4a551ea13a435ea17111a17d57f9e0_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường (dùng pin) DUE126UK/VM2L051Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-dung-pin-due126uk-vm2l051z,"7,690,800₫","9,860,000₫",https://product.hstatic.net/1000238289/product/due126ue-2_e422ade09e1e4559b279b015a1a1483c_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường (220V) DUE126UPE/VM2L051Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-220v-due126upe-vm2l051z,"8,439,600₫","10,820,000₫",https://product.hstatic.net/1000238289/product/due126upk_19cafe347b5b432ab6aae8ec49d1dd8d_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Ống nối VM2L051Z,https://tototuantu.vn/products/ong-noi-vm2l051z,"926,600₫","1,130,000₫",https://product.hstatic.net/1000238289/product/ong-noi-tieu-nam-toto-vm2l051z-740x740_b5dd58ae2a84419789f5278cf3639540_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường (220V) DUE126UE/VM2L051Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-220v-due126ue-vm2l051z,"9,001,200₫","11,540,000₫",https://product.hstatic.net/1000238289/product/due126ue-2_0641333c62d045f0a7b7cc6a3f5da362_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường DUE126UPK/VM2L037Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-due126upk-vm2l037z,"7,144,000₫","8,930,000₫",https://product.hstatic.net/1000238289/product/due126upk_6c3331391a5543b09d0050cdc2370a79_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường (dùng pin) DUE126UK/VM2L037Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-dung-pin-due126uk-vm2l037z,"7,698,600₫","9,870,000₫",https://product.hstatic.net/1000238289/product/due126uk_74106e1946384e0ea0671adc9a75f680_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Ống nối VM2L037Z,https://tototuantu.vn/products/ong-noi-vm2l037z,"934,800₫","1,140,000₫",https://product.hstatic.net/1000238289/product/ong-noi-tieu-nam-toto-vm2l037z-740x740_293efbfe0dc54ac88d344c8b3ccb8395_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Van cảm ứng tiểu nam âm tường DUE126UE/VM2L037Z,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-due126ue-vm2l037z,"9,009,000₫","11,550,000₫",https://product.hstatic.net/1000238289/product/due126ue_dfd512f24f9244f7962a74546da7d4db_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Tiểu nam treo tường UT901H,https://tototuantu.vn/products/tieu-nam-treo-tuong-ut901h,"9,072,000₫","11,340,000₫",https://product.hstatic.net/1000238289/product/uwn901_01_58c8ae6c77404b87900f8bb41d162e08_medium.jpg,,thiet-bi-ve-sinh-khu-cong-cong
Bồn Tiểu Nam TOTO USWN925AEV Cảm Ứng Điện 220V 0.5L,https://tototuantu.vn/products/tieu-nam-treo-tuong-tich-hop-van-xa-tu-dong-uswn925aev,"19,484,400₫","24,980,000₫",https://product.hstatic.net/1000238289/product/uswn925ae_r1_66654ca7bf5741b0929c202524f3bf88_medium.jpeg,,thiet-bi-ve-sinh-khu-cong-cong
Bộ điều khiển vòi xịt xà phòng tự động TLK01104AA,https://tototuantu.vn/products/bo-dieu-khien-voi-xit-xa-phong-tu-dong-tlk01104aa,"11,863,800₫","15,210,000₫",https://product.hstatic.net/1000238289/product/8____19_808815f6a7bc42ba940cd0e5b67651ae_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Bộ điều khiển vòi xịt xà phòng tự động TLK01103AA,https://tototuantu.vn/products/bo-dieu-khien-voi-xit-xa-phong-tu-dong-tlk01103aa,"18,166,200₫","23,290,000₫",https://product.hstatic.net/1000238289/product/8____20_4a33107133a8445a957a92a1ad0659d6_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
Bộ điều khiển vòi xịt xà phòng tự động TLK01102AA,https://tototuantu.vn/products/bo-dieu-khien-voi-xit-xa-phong-tu-dong-tlk01102aa,"15,061,800₫","19,310,000₫",https://product.hstatic.net/1000238289/product/8____21_129ef3ad844745b1894f70433cac02b0_medium.png,,thiet-bi-ve-sinh-khu-cong-cong
