name,product_url,price,original_price,image_url,sku,category
Vòi xả bồn nóng lạnh kèm sen tắm GR TBG02306AA#MBL/TBN01105B,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-kem-sen-tam-gr-tbg02306aa-mbl-tbn01105b,"51,347,400₫","65,830,000₫",https://product.hstatic.net/1000238289/product/tbg02306aa_mbl_61af53a8231a439e80e6f11d5d258724_medium.jpg,,voi
Vòi cảm ứng TLE29002V,https://tototuantu.vn/products/voi-cam-ung-tle29002v,"4,781,400₫","6,130,000₫",https://product.hstatic.net/1000238289/product/tle29001_afumeh_fc0d7b01576b4caabc37f59f45aa497d_medium.jpg,,voi
Vòi cảm ứng TLE27002V,https://tototuantu.vn/products/voi-cam-ung-tle27002v,"5,311,800₫","6,810,000₫",https://product.hstatic.net/1000238289/product/tle27001_afumef_aa7b6a6883274870bb87afee96138b92_medium.jpg,,voi
Vòi cảm ứng tự động TLE26008V,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle26008v,"7,800,000₫","10,000,000₫",https://product.hstatic.net/1000238289/product/tle26003_aftakee_l_c16292430aa141f6a2e7efda3c79ef76_medium.jpg,,voi
Vòi cảm ứng tự động TLE26007V,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle26007v,"6,910,800₫","8,860,000₫",https://product.hstatic.net/1000238289/product/tle26002_aftakee_m_285bf064f37a4388b7fed342f0bd9fab_medium.jpg,,voi
Vòi cảm ứng tự động TLE25008V,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle25008v,"8,860,800₫","11,360,000₫",https://product.hstatic.net/1000238289/product/tle25003_aftaked_l_1_b5ca723a52bc4437acbfe8d7940a5c5e_medium.jpg,,voi
Bộ điều khiển vòi cảm ứng TLE04502V,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-tle04502v,"2,480,400₫","3,180,000₫",https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_1_1_037d1b95ebce4ef0ba0c17403dc18645_medium.jpg,,voi
Bộ điều khiển vòi cảm ứng TLE04502A1,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-tle04502a1,"2,480,400₫","3,180,000₫",https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_1_1_7ba00e1d830742ae924320b14ebce10f_medium.jpg,,voi
Bộ điều khiển vòi cảm ứng TLE01502V/TLN01103A/TLE05701A,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-tle01502v-tln01103a-tle05701a,"7,573,800₫","9,710,000₫",https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower.jpg.pagespeed.ce.z2jecrylwb_6d84b79cfa3340fa990b5bb4a8cb822d_medium.jpg,,voi
Bộ điều khiển vòi cảm ứng ( loại dùng điện ) TLE01502V,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-loai-dung-dien-tle01502v,"3,010,800₫","3,860,000₫",https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower.jpg.pagespeed.ce.z2jecrylwb_9f4f1d67d69940d8a8c4e600eae1793f_medium.jpg,,voi
Van Dừng Và Dây Cấp TOTO TLN01103A,https://tototuantu.vn/products/van-dung-va-day-cap-toto-tln01103a,"1,193,400₫","1,530,000₫",https://product.hstatic.net/1000238289/product/tln01103a_abc0f11b3d894c99ba26a022eb1dfd8e_medium.jpeg,,voi
