categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/16gv_fd0b52df845f4dd193aa14ce90441928_f2efee22a8bb49f5af0bef73e14542b2_5b667bca3a1e4030a700a600a72d1896_medium.png,Chậu đặt âm bàn LW1535V#XW kèm giá đỡ TL516GV,"5,266,000₫","4,212,800₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lw1536v-1,2025-04-10 09:13:00,LW1536V#XW/TL516GV,LW1536V#XW/TL516GV,Chậu đặt âm bàn LW1535V#XW kèm giá đỡ TL516GV
"Chậu rửa, Chậu âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/16gv_7ec78eb0eef84c43a1cb5ffd03026140_8cb2aaa43c8e45518fb918e4b15b0968_01a6c81e80fc4fa8b5c4f17ba64c21f5_medium.png,Chậu đặt âm bàn LW1535V,"4,697,000₫","3,757,600₫",True,https://tototuantu.vn/products/chau-dat-am-ban-lw1535v-1,2025-04-10 09:13:59,LW1535V#XW/TL516GV,LW1535V#XW/TL516GV,Chậu đặt âm bàn LW1535V
Chậu rửa,chau-rua,https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2024-06-13_luc_11.03.47_5f955e3bd3cd4edeb20a27ce17eddd87_medium.png,Chậu rửa âm bàn LW1536V/TL516GV,"5,266,000₫","4,212,800₫",True,https://tototuantu.vn/products/chau-rua-am-ban-lw1536v-tl516gv,2025-04-10 09:14:56,LW1536V#XW/TL516GV,LW1536V#XW/TL516GV,Chậu rửa âm bàn LW1536V/TL516GV
Chậu rửa,chau-rua,https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2024-06-13_luc_11.03.47_d1424e6ed3c84e61b0053e59d75fd118_medium.png,Chậu rửa âm bàn LW1536V,"3,976,000₫","3,101,280₫",True,https://tototuantu.vn/products/chau-rua-am-ban-lw1536v,2025-04-10 09:15:32,LW1536V#XW,LW1536V#XW,Chậu rửa âm bàn LW1536V
"Chậu rửa, Chậu rửa treo tường",chau-rua,https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2023-08-22_luc_09.57.54_34ad2861e0fe42ef9226c2d3623df1ed_medium.png,Chậu treo tường TOTO LT328C,"2,160,000₫","1,728,000₫",True,https://tototuantu.vn/products/chau-treo-tuong-toto-lt328c,2025-04-10 09:16:09,LT328C#XW,LT328C#XW,Chậu treo tường TOTO LT328C
"Chậu rửa, Chậu rửa treo tường",chau-rua,https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2023-08-21_luc_09.34.26_4d2e61d639cf4213824f090099a868f9_medium.png,Chậu treo tường chân lửng LHT328C,"3,240,000₫","2,592,000₫",True,https://tototuantu.vn/products/chau-treo-tuong-chan-lung-lht328c,2025-04-10 09:16:56,LHT328C#XW,LHT328C#XW,Chậu treo tường chân lửng LHT328C
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw526nj_1_7203a81e69b34aef95a3e0265ac26b94_medium.jpeg,Chậu Lavabo TOTO LW526NJU Bán Âm,"3,515,000₫","2,812,000₫",True,https://tototuantu.vn/products/chau-lavabo-toto-lw526nju-ban-am,2025-04-10 09:17:45,LW526NJU#W,LW526NJU#W,Chậu Lavabo TOTO LW526NJU Bán Âm
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/toto-lt523s-545x545_c96be36754204ccdbae8190dd713d966_medium.jpg,Chậu Lavabo TOTO LT523S (LT523R) Đặt Bàn Hình Tròn,"2,582,000₫","2,065,600₫",True,https://tototuantu.vn/products/chau-lavabo-toto-lt523s-lt523r-dat-ban-hinh-tron,2025-04-10 09:18:32,LT523S#XW,LT523S#XW,Chậu Lavabo TOTO LT523S (LT523R) Đặt Bàn Hình Tròn
"Chậu rửa, Chậu bán âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/05f6767db4e4b6fab4ada0e7113f5aa_81e1dce264f0450a9898eda011b8a4d4_large_d259f930e967439cbb3e6b5a7dc6214c_medium.jpg,Chậu bán âm bàn TOTO LT647CS#XW,"4,300,000₫","3,354,000₫",True,https://tototuantu.vn/products/chau-ban-am-ban-toto-lt647cs-xw,2025-04-10 09:19:19,LT647CS#XW,LT647CS#XW,Chậu bán âm bàn TOTO LT647CS#XW
"Chậu rửa, Chậu bán âm bàn",chau-rua,https://product.hstatic.net/1000238289/product/lw829cj_dced1d54f2154e04983a5f178159f773_medium.jpg,Chậu bán âm bàn LW829CJW/F#W,"3,499,200₫","2,729,376₫",True,https://tototuantu.vn/products/chau-ban-am-ban-lw829cjw-f-w,2025-04-10 09:20:35,LW829CJW/F#W,LW829CJW/F#W,Chậu bán âm bàn LW829CJW/F#W
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt1706_c7c0a5641a7645aeafe243aae84c1de8_medium.png,Chậu đặt trên bàn LT1706#XW,"5,911,000₫","4,610,580₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-lt1706-xw,2025-04-10 09:22:13,LT1706#XW,LT1706#XW,Chậu đặt trên bàn LT1706#XW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lt4704_3_2833a98ead61442e94f1dfa8a853cf4b_medium.jpg,Chậu đặt trên bàn cao cấp LT4704MTG19#CMW,"34,982,000₫","27,285,960₫",True,https://tototuantu.vn/products/chau-dat-tren-ban-cao-cap-lt4704mtg19-cmw,2025-04-10 09:23:09,LT4704MTG19#CMW,LT4704MTG19#CMW,Chậu đặt trên bàn cao cấp LT4704MTG19#CMW
"Chậu rửa, Chậu dương vành",chau-rua,https://product.hstatic.net/1000238289/product/l762_4003f1f7cb404dd592f13cb134df0302_medium.jpg,Lavabo đặt dương vành L762,"1,718,000₫","1,340,040₫",True,https://tototuantu.vn/products/lavabo-dat-duong-vanh-l762-xw-1,2025-04-10 09:24:36,L762#XW,L762#XW,Lavabo đặt dương vành L762
"Chậu rửa, Chậu rửa treo tường, Khu công cộng, Sản phẩm khác",chau-rua,https://product.hstatic.net/1000238289/product/lw103_3068e4a70e9945ea91a95db61e6e06f5_8c69a3e6f2c24762bf6d4835ccb4d080_medium.jpg,Chậu rửa treo tường TOTO LW103JT1,"10,114,000₫","7,888,920₫",True,https://tototuantu.vn/products/chau-rua-treo-tuong-toto-lw103jt1-1,2025-04-10 09:25:43,LW103JT1#W/TL220D/T205QN,LW103JT1#W/TL220D/T205QN,Chậu rửa treo tường TOTO LW103JT1
"Chậu rửa, Chậu rửa treo tường",chau-rua,https://product.hstatic.net/1000238289/product/lt240c_bea7fe51a3f14656b673a32555ca87c9_607fceb48f404f53baa792fea1885ef7_medium.jpg,Chậu rửa treo tường LT240CS,"1,424,000₫","1,139,200₫",True,https://tototuantu.vn/products/chau-rua-treo-tuong-lt240cs-w-1,2025-04-10 09:26:59,LT240CS#W,LT240CS#W,Chậu rửa treo tường LT240CS
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/pjs07w_a6d0048d46294c43ba6fd65f2916c949_c5965503661a403585fa027837f9aa50_medium.jpg,Chậu rửa mặt LAVABO PJS07WE#MW,"24,320,000₫","18,969,600₫",True,https://tototuantu.vn/products/chau-rua-mat-lavabo-pjs07we-mw-1,2025-04-10 09:28:15,PJS07WE#MW,PJS07WE#MW,Chậu rửa mặt LAVABO PJS07WE#MW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/pjs07w_f8404c1c68a84c46ae17fb80ec579bd0_83020be7c3574a80bd5aa27dc8539b0e_medium.jpg,Chậu rửa mặt LAVABO PJS07WE#GW,"24,320,000₫","18,969,600₫",True,https://tototuantu.vn/products/chau-rua-mat-lavabo-pjs07we-gw-1,2025-04-10 09:29:42,PJS07WE#GW,PJS07WE#GW,Chậu rửa mặt LAVABO PJS07WE#GW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lavabo-toto-pjs06we-440x440_a01ad6dee29b4a3087893478cb5c40d3_278044681f0041d6bb05c63848e1eceb_medium.jpg,Chậu rửa mặt LAVABO PJS06WE#MW,"24,320,000₫","18,969,600₫",True,https://tototuantu.vn/products/chau-rua-mat-lavabo-pjs06we-mw-1,2025-04-10 09:31:09,PJS06WE#MW,PJS06WE#MW,Chậu rửa mặt LAVABO PJS06WE#MW
"Chậu rửa, Chậu đặt bàn",chau-rua,https://product.hstatic.net/1000238289/product/lavabo-toto-pjs06we-440x440_4acff9f44f484927800f7198ed2ace95_e5cac36375804b13b61f9585a7590d83_medium.jpg,Chậu rửa mặt LAVABO PJS06WE#GW,"24,320,000₫","18,969,600₫",True,https://tototuantu.vn/products/chau-rua-mat-lavabo-pjs06we-gw-1,2025-04-10 09:32:36,PJS06WE#GW,PJS06WE#GW,Chậu rửa mặt LAVABO PJS06WE#GW
