categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/tcf47360gaa_nw1_a379c9b0fce74d87a3a7b57d57ac4846_medium.png,Nắp rửa điện tử Washlet TOTO TCF47360GAA dòng S7 giấu dây,"40,000,000₫","30,400,000₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf47360gaa-dong-s7-giau-day,2025-04-10 11:12:07,TCF47360GAA#NW1,TCF47360GAA#NW1,Nắp rửa điện tử Washlet TOTO TCF47360GAA dòng S7 giấu dây
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/tcf23710aaa_f23c4100ab4a48759077511a79da0f94_medium.jpg,Nắp rửa điện tử WASHLET dòng C2 TCF23710AAA,,"12,000,000₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-dong-c2-tcf23710aaa,2025-04-10 11:12:57,TCF23710AAA#NW1,TCF23710AAA#NW1,Nắp rửa điện tử WASHLET dòng C2 TCF23710AAA
"Bồn cầu, Nắp bồn cầu, Nắp đóng êm",nap-bon-cau,https://product.hstatic.net/1000238289/product/tc395vs_w_ab2d27275c0a485ca9c154e053ae961a_medium.jpg,Nắp Êm Bồn Cầu TOTO TC395VS (T10),"805,000₫","684,250₫",True,https://tototuantu.vn/products/nap-em-bon-cau-toto-tc395vs-t10,2025-04-10 11:14:13,TC395VS#W,TC395VS#W,Nắp Êm Bồn Cầu TOTO TC395VS (T10)
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/wl_c5_1_2__1__6c43fddabd204e2faddc163b89e13403_medium.jpeg,Nắp Rửa Điện Tử Washlet TOTO TCF24460AAA (W15) Giấu Dây,"25,750,000₫","19,570,000₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf24460aaa-w15-giau-day,2025-04-10 11:15:20,TCF24460AAA#NW1,TCF24460AAA#NW1,Nắp Rửa Điện Tử Washlet TOTO TCF24460AAA (W15) Giấu Dây
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/pf4_01_1_1_e7704e7775ae45ea9356b24c5c49f365_medium.jpeg,Nắp Rửa Điện Tử Washlet TOTO TCF23410AAA (W16) C2,"17,510,000₫","13,307,600₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf23410aaa-w16-c2,2025-04-10 11:16:26,TCF23410AAA#NW1,TCF23410AAA#NW1,Nắp Rửa Điện Tử Washlet TOTO TCF23410AAA (W16) C2
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/pf4_01_1_1_5df4b81352fd42eda5d6d1c3fc4c50ca_medium.jpeg,Nắp Rửa Điện Tử Washlet TOTO TCF23460AAA (W17) Giấu Dây C2,"17,510,000₫","13,307,600₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf23460aaa-w17-giau-day-c2,2025-04-10 11:17:32,TCF23460AAA#NW1,TCF23460AAA#NW1,Nắp Rửa Điện Tử Washlet TOTO TCF23460AAA (W17) Giấu Dây C2
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/s2_-_tcf33320_83e53399d6724954aa028a6a6302c611_medium.jpeg,Nắp Rửa Điện Tử Washlet TOTO TCF33370GAA Giấu Dây S2,"24,250,000₫","18,430,000₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf33370gaa-giau-day-s2,2025-04-10 11:18:39,TCF33370GAA#NW1,TCF33370GAA#NW1,Nắp Rửa Điện Tử Washlet TOTO TCF33370GAA Giấu Dây S2
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/s2_-_tcf33320_0e36c285a2464db6845d8e8d1b3d742f_medium.jpeg,Nắp Rửa Điện Tử Washlet TOTO TCF33320GAA S2 Chữ D,"24,250,000₫","18,430,000₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf33320gaa-s2-chu-d,2025-04-10 11:19:55,TCF33320GAA#NW1,TCF33320GAA#NW1,Nắp Rửa Điện Tử Washlet TOTO TCF33320GAA S2 Chữ D
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/s5-tcf34320gaa_nw1_2915913bf7b84fc79258b366d9590b04_medium.jpeg,Nắp Rửa Điện Tử Washlet TOTO TCF34570GAA Giấu Dây S5,"33,060,000₫","25,125,600₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf34570gaa-giau-day-s5,2025-04-10 11:21:11,TCF34570GAA#NW1,TCF34570GAA#NW1,Nắp Rửa Điện Tử Washlet TOTO TCF34570GAA Giấu Dây S5
"Bồn cầu, Nắp bồn cầu, Nắp rửa điện tử Washlet",nap-bon-cau,https://product.hstatic.net/1000238289/product/s5-tcf34320gaa_nw1_9d3d42966b0541b9af4a9ffd12e9341f_medium.jpeg,Nắp Rửa Điện Tử Washlet TOTO TCF34320GAA S5 Chữ D,"33,060,000₫","25,125,600₫",True,https://tototuantu.vn/products/nap-rua-dien-tu-washlet-toto-tcf34320gaa-s5-chu-d,2025-04-10 11:22:27,TCF34320GAA#NW1,TCF34320GAA#NW1,Nắp Rửa Điện Tử Washlet TOTO TCF34320GAA S5 Chữ D
