categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Khu công cộng, Sản phẩm khác",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/th.toto.com-wh005a-wh005a_d14ca73a66d64fb39121dc7a63f3139f_medium.jpg,Khung treo bàn cầu WH005A,"5,930,000₫","4,625,400₫",True,https://tototuantu.vn/products/khung-treo-ban-cau-wh005a,2025-04-10 13:20:22,WH005A,WH005A,Khung treo bàn cầu WH005A
Khu công cộng,thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/th.toto.com-tref35l2a-tref35l2a-tref25u2a_6688d7d242864b308be1b8d3641e3d3f_medium.jpg,Van xả cảm ứng tự động cho bàn cầu treo tường TREF35L2A,"16,380,000₫","12,776,400₫",True,https://tototuantu.vn/products/van-xa-cam-ung-tu-dong-cho-ban-cau-treo-tuong-tref35l2a,2025-04-10 13:21:20,TREF35L2A,TREF35L2A,Van xả cảm ứng tự động cho bàn cầu treo tường TREF35L2A
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/due110psk_9f741e2377be41b3ae4747e57c435f1d_medium.jpg,Van cảm ứng tiểu nam DUE110PSK,"6,420,000₫","5,007,600₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-due110psk,2025-04-10 13:22:56,DUE110PSK,DUE110PSK,Van cảm ứng tiểu nam DUE110PSK
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/u104w_f_w_b39dca57d43a4a788032815fa1840d9e_medium.jpeg,Bồn Tiểu Nam TOTO U104W/F#W (U104W-F) Treo Tường,"2,680,000₫","2,144,000₫",True,https://tototuantu.vn/products/bon-tieu-nam-toto-u104w-f-w-u104w-f-treo-tuong,2025-04-10 13:24:22,U104W/F#W,U104W/F#W,Bồn Tiểu Nam TOTO U104W/F#W (U104W-F) Treo Tường
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/du601srr_637ed0743fac4a699bd9784206d33974_medium.png,Van Xả Nhấn Bồn Tiểu Nam TOTO DU601SRR,"1,880,000₫","1,466,400₫",True,https://tototuantu.vn/products/van-xa-nhan-bon-tieu-nam-toto-du601srr,2025-04-10 13:25:19,DU601SRR,DU601SRR,Van Xả Nhấn Bồn Tiểu Nam TOTO DU601SRR
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/anh_chup_man_hinh_2023-02-18_luc_09.27.02_b0ba7201fbee4a02ab2b6f8cf50886f8_medium.png,Van cảm ứng tiểu nam âm tường và ống nối - DUE126UPE/VM2L037Z,"10,830,000₫","8,447,400₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-va-ong-noi-due126upe-vm2l037z,2025-04-10 13:26:25,DUE126UPE/VM2L037Z,DUE126UPE/VM2L037Z,Van cảm ứng tiểu nam âm tường và ống nối - DUE126UPE/VM2L037Z
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/due126upk_de4a551ea13a435ea17111a17d57f9e0_medium.jpg,Van cảm ứng tiểu nam âm tường (dùng pin) DUE126UPK/VM2L051Z,"8,920,000₫","6,957,600₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-dung-pin-due126upk-vm2l051z,2025-04-10 13:28:02,DUE126UPK/VM2L051Z,DUE126UPK/VM2L051Z,Van cảm ứng tiểu nam âm tường (dùng pin) DUE126UPK/VM2L051Z
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/due126ue-2_e422ade09e1e4559b279b015a1a1483c_medium.jpg,Van cảm ứng tiểu nam âm tường (dùng pin) DUE126UK/VM2L051Z,"9,860,000₫","7,690,800₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-dung-pin-due126uk-vm2l051z,2025-04-10 13:29:08,DUE126UK/VM2L051Z,DUE126UK/VM2L051Z,Van cảm ứng tiểu nam âm tường (dùng pin) DUE126UK/VM2L051Z
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/due126upk_19cafe347b5b432ab6aae8ec49d1dd8d_medium.jpg,Van cảm ứng tiểu nam âm tường (220V) DUE126UPE/VM2L051Z,"10,820,000₫","8,439,600₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-220v-due126upe-vm2l051z,2025-04-10 13:30:15,DUE126UPE/VM2L051Z,DUE126UPE/VM2L051Z,Van cảm ứng tiểu nam âm tường (220V) DUE126UPE/VM2L051Z
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/ong-noi-tieu-nam-toto-vm2l051z-740x740_b5dd58ae2a84419789f5278cf3639540_medium.jpg,Ống nối VM2L051Z,"1,130,000₫","926,600₫",True,https://tototuantu.vn/products/ong-noi-vm2l051z,2025-04-10 13:31:21,VM2L051Z,VM2L051Z,Ống nối VM2L051Z
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/due126ue-2_0641333c62d045f0a7b7cc6a3f5da362_medium.jpg,Van cảm ứng tiểu nam âm tường (220V) DUE126UE/VM2L051Z,"11,540,000₫","9,001,200₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-220v-due126ue-vm2l051z,2025-04-10 13:32:28,DUE126UE/VM2L051Z,DUE126UE/VM2L051Z,Van cảm ứng tiểu nam âm tường (220V) DUE126UE/VM2L051Z
"Khu công cộng, Tiểu nam",thiet-bi-ve-sinh-khu-cong-cong,https://product.hstatic.net/1000238289/product/due126upk_6c3331391a5543b09d0050cdc2370a79_medium.jpg,Van cảm ứng tiểu nam âm tường DUE126UPK/VM2L037Z,"8,930,000₫","7,144,000₫",True,https://tototuantu.vn/products/van-cam-ung-tieu-nam-am-tuong-due126upk-vm2l037z,2025-04-10 13:33:44,DUE126UPK/VM2L037Z,DUE126UPK/VM2L037Z,Van cảm ứng tiểu nam âm tường DUE126UPK/VM2L037Z
