categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Vòi, Vòi Bồn Tắm, Vòi đặt sàn",voi,https://product.hstatic.net/1000238289/product/tbg02306aa_mbl_61af53a8231a439e80e6f11d5d258724_medium.jpg,Vòi xả bồn nóng lạnh kèm sen tắm GR TBG02306AA#MBL/TBN01105B,"65,830,000₫","51,347,400₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-kem-sen-tam-gr-tbg02306aa-mbl-tbn01105b,2025-04-10 13:20:51,TBG02306AA#MBL/TBN01105B,TBG02306AA#MBL/TBN01105B,Vòi xả bồn nóng lạnh kèm sen tắm GR TBG02306AA#MBL/TBN01105B
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle29001_afumeh_fc0d7b01576b4caabc37f59f45aa497d_medium.jpg,Vòi cảm ứng TLE29002V,"6,130,000₫","4,781,400₫",True,https://tototuantu.vn/products/voi-cam-ung-tle29002v,2025-04-10 13:21:50,TLE29002V,TLE29002V,Vòi cảm ứng TLE29002V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle27001_afumef_aa7b6a6883274870bb87afee96138b92_medium.jpg,Vòi cảm ứng TLE27002V,"6,810,000₫","5,311,800₫",True,https://tototuantu.vn/products/voi-cam-ung-tle27002v,2025-04-10 13:23:16,TLE27002V,TLE27002V,Vòi cảm ứng TLE27002V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle26003_aftakee_l_c16292430aa141f6a2e7efda3c79ef76_medium.jpg,Vòi cảm ứng tự động TLE26008V,"10,000,000₫","7,800,000₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle26008v,2025-04-10 13:24:33,TLE26008V,TLE26008V,Vòi cảm ứng tự động TLE26008V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle26002_aftakee_m_285bf064f37a4388b7fed342f0bd9fab_medium.jpg,Vòi cảm ứng tự động TLE26007V,"8,860,000₫","6,910,800₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle26007v,2025-04-10 13:25:50,TLE26007V,TLE26007V,Vòi cảm ứng tự động TLE26007V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle25003_aftaked_l_1_b5ca723a52bc4437acbfe8d7940a5c5e_medium.jpg,Vòi cảm ứng tự động TLE25008V,"11,360,000₫","8,860,800₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle25008v,2025-04-10 13:27:06,TLE25008V,TLE25008V,Vòi cảm ứng tự động TLE25008V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_1_1_037d1b95ebce4ef0ba0c17403dc18645_medium.jpg,Bộ điều khiển vòi cảm ứng TLE04502V,"3,180,000₫","2,480,400₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-tle04502v,2025-04-10 13:28:21,TLE04502V,TLE04502V,Bộ điều khiển vòi cảm ứng TLE04502V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_1_1_7ba00e1d830742ae924320b14ebce10f_medium.jpg,Bộ điều khiển vòi cảm ứng TLE04502A1,"3,180,000₫","2,480,400₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-tle04502a1,2025-04-10 13:29:58,TLE04502A1,TLE04502A1,Bộ điều khiển vòi cảm ứng TLE04502A1
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower.jpg.pagespeed.ce.z2jecrylwb_6d84b79cfa3340fa990b5bb4a8cb822d_medium.jpg,Bộ điều khiển vòi cảm ứng TLE01502V/TLN01103A/TLE05701A,"9,710,000₫","7,573,800₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-tle01502v-tln01103a-tle05701a,2025-04-10 13:31:34,TLE01502V/TLN01103A/TLE05701A,TLE01502V/TLN01103A/TLE05701A,Bộ điều khiển vòi cảm ứng TLE01502V/TLN01103A/TLE05701A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower.jpg.pagespeed.ce.z2jecrylwb_9f4f1d67d69940d8a8c4e600eae1793f_medium.jpg,Bộ điều khiển vòi cảm ứng ( loại dùng điện ) TLE01502V,"3,860,000₫","3,010,800₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-loai-dung-dien-tle01502v,2025-04-10 13:33:11,TLE01502V,TLE01502V,Bộ điều khiển vòi cảm ứng ( loại dùng điện ) TLE01502V
